ID	adj.P.Val	P.Value	logFC	Gene.symbol	Gene.title
1424542_at	0.000149	8.11e-08	5.22861	S100a4	S100 calcium binding protein A4
1447870_x_at	0.000149	8.13e-08	-7.23320333	LOC102634333///1110002E22Rik	uncharacterized LOC102634333///RIKEN cDNA 1110002E22 gene
1456480_at	0.000149	8.47e-08	-5.93932667	Fry	FRY microtubule binding protein
1419484_a_at	0.000149	8.93e-08	-6.24790333	Gbas	glioblastoma amplified sequence
1446990_at	0.000149	9.31e-08	-5.67858667	Nfia	nuclear factor I/A
1424638_at	0.000149	9.43e-08	4.83682333	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)
1419109_at	0.000149	1.01e-07	-4.50459333	Hrc	histidine rich calcium binding protein
1452363_a_at	0.000149	1.02e-07	-6.13222333	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
1417644_at	0.000149	1.04e-07	-5.76856667	Sspn	sarcospan
1454824_s_at	0.000149	1.06e-07	-4.68983333	Mtus1	mitochondrial tumor suppressor 1
1431056_a_at	0.000171	1.25e-07	-6.17505667	Lpl	lipoprotein lipase
1437197_at	0.000173	1.33e-07	-7.15880667	Sorbs2	sorbin and SH3 domain containing 2
1460332_at	0.000173	1.34e-07	-7.42183667	Pln	phospholamban
1441915_s_at	0.000176	1.47e-07	-3.73581	Plin5	perilipin 5
1428722_at	0.000176	1.54e-07	-6.8458	Ckmt2	creatine kinase, mitochondrial 2
1428140_at	0.000176	1.54e-07	-5.09804667	Oxct1	3-oxoacid CoA transferase 1
1448131_at	0.000176	1.56e-07	-4.26834667	Mfn2	mitofusin 2
1437482_at	0.000176	1.56e-07	-5.04750333	Tecrl	trans-2,3-enoyl-CoA reductase-like
1437797_at	0.000208	1.89e-07	-6.18453667	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
1443551_at	0.000211	2.01e-07	-6.31813	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
1450203_at	0.000211	2.15e-07	-5.39024	Smyd1	SET and MYND domain containing 1
1437195_x_at	0.000211	2.17e-07	-5.21121667	Mapk10	mitogen-activated protein kinase 10
1448602_at	0.000211	2.21e-07	-5.19144333	Pygm	muscle glycogen phosphorylase
1416368_at	0.000211	2.23e-07	-4.18124333	Gsta4	glutathione S-transferase, alpha 4
1460125_at	0.000211	2.24e-07	-5.28583333	Ccdc141	coiled-coil domain containing 141
1455901_at	0.000211	2.29e-07	-4.25606333	Chpt1	choline phosphotransferase 1
1448607_at	0.000211	2.30e-07	-4.34560667	Nampt	nicotinamide phosphoribosyltransferase
1460318_at	0.000211	2.34e-07	-5.20269	Csrp3	cysteine and glycine-rich protein 3
1433783_at	0.000214	2.42e-07	-5.5729	Ldb3	LIM domain binding 3
1448826_at	0.000228	2.65e-07	-7.41145667	Myh6	myosin, heavy polypeptide 6, cardiac muscle, alpha
1459238_at	0.000228	2.70e-07	-4.8502		
1422536_at	0.000228	2.73e-07	-7.03015667	Tnni3	troponin I, cardiac 3
1417487_at	0.000229	2.79e-07	5.29939	Fosl1	fos-like antigen 1
1424367_a_at	0.000232	2.91e-07	-4.43625667	Homer2	homer scaffolding protein 2
1436188_a_at	0.000232	2.94e-07	-5.47447667	Ndrg4	N-myc downstream regulated gene 4
1418155_at	0.000233	2.99e-07	-3.48338	Myot	myotilin
1436939_at	0.000246	3.21e-07	-4.96053333	Unc45b	unc-45 myosin chaperone B
1456873_at	0.000249	3.39e-07	-5.11366	Clic5	chloride intracellular channel 5
1419043_a_at	0.000249	3.41e-07	-3.93551333	Iigp1	interferon inducible GTPase 1
1449036_at	0.000249	3.42e-07	-3.89410667	Rnf128	ring finger protein 128
1416023_at	0.000251	3.60e-07	-5.02759667	Fabp3	fatty acid binding protein 3, muscle and heart
1444638_at	0.000251	3.65e-07	-5.24866667	Ttn	titin
1428662_a_at	0.000251	3.71e-07	-5.93892333	Hopx	HOP homeobox
1418709_at	0.000251	3.73e-07	-5.18638333	Cox7a1	cytochrome c oxidase subunit VIIa 1
1451156_s_at	0.000251	3.73e-07	-4.24388667	Vldlr	very low density lipoprotein receptor
1427445_a_at	0.000255	3.96e-07	-4.99229333	Ttn	titin
1448213_at	0.000255	3.99e-07	5.57590667	Anxa1	annexin A1
1449443_at	0.000255	3.99e-07	-5.03366	Decr1	2,4-dienoyl CoA reductase 1, mitochondrial
1444985_at	0.000255	4.04e-07	-5.61810667		
1438283_at	0.000255	4.11e-07	-4.02790333	Abhd18	abhydrolase domain containing 18
1435520_at	0.000255	4.16e-07	-4.44749667	Msi2	musashi RNA-binding protein 2
1437637_at	0.000255	4.19e-07	-5.12508	Phtf2	putative homeodomain transcription factor 2
1418996_a_at	0.000255	4.25e-07	-4.47762667	Lyrm5	LYR motif containing 5
1433856_at	0.000257	4.42e-07	-5.52487333	Ppip5k2	diphosphoinositol pentakisphosphate kinase 2
1448394_at	0.000257	4.43e-07	-6.74322333	Myl2	myosin, light polypeptide 2, regulatory, cardiac, slow
1450123_at	0.000257	4.45e-07	-6.73983667	Ryr2	ryanodine receptor 2, cardiac
1428651_at	0.000259	4.54e-07	-4.57677	Klhl24	kelch-like 24
1424770_at	0.000262	4.64e-07	3.93664667	Cald1	caldesmon 1
1420342_at	0.00027	4.87e-07	-5.24510333	Gdap10	ganglioside-induced differentiation-associated-protein 10
1448327_at	0.00027	4.92e-07	-5.11942	Actn2	actinin alpha 2
1424393_s_at	0.00027	4.97e-07	-4.12351	Adhfe1	alcohol dehydrogenase, iron containing, 1
1426134_at	0.000272	5.12e-07	-5.01436	Trdn	triadin
1454752_at	0.000272	5.13e-07	-4.43875	Rbm24	RNA binding motif protein 24
1418551_at	0.000273	5.20e-07	-4.36685667	Mybpc3	myosin binding protein C, cardiac
1457031_at	0.000273	5.28e-07	-3.57829	Fsd2	fibronectin type III and SPRY domain containing 2
1429083_at	0.000273	5.34e-07	-4.67838	Agl	amylo-1,6-glucosidase, 4-alpha-glucanotransferase
1453628_s_at	0.000276	5.49e-07	-4.01406	Lrrc2	leucine rich repeat containing 2
1422092_at	0.000276	5.51e-07	-3.18492	Pfkfb2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
1416183_a_at	0.000281	5.68e-07	-4.75842667	Ldhb	lactate dehydrogenase B
1416950_at	0.000293	6.04e-07	-3.97814667	Tnfaip8	tumor necrosis factor, alpha-induced protein 8
1429723_at	0.000293	6.04e-07	-3.92147667	Spryd7	SPRY domain containing 7
1443823_s_at	0.000296	6.18e-07	-3.23254333	Atp1a2	ATPase, Na+/K+ transporting, alpha 2 polypeptide
1421163_a_at	0.000298	6.27e-07	-3.71847	Nfia	nuclear factor I/A
1422529_s_at	0.000305	6.48e-07	-5.67703333	Casq2	calsequestrin 2
1435106_at	0.000323	7.01e-07	-4.95993	Limch1	LIM and calponin homology domains 1
1419668_at	0.000323	7.02e-07	-3.58956333	Sgcb	sarcoglycan, beta (dystrophin-associated glycoprotein)
1438175_x_at	0.000341	7.50e-07	-4.79706667	Myom2	myomesin 2
1427769_x_at	0.000341	7.55e-07	-3.66621667	Myl3	myosin, light polypeptide 3
1419431_at	0.000359	8.05e-07	5.23516	Ereg	epiregulin
1460184_at	0.000362	8.23e-07	-4.03109667	Hadh	hydroxyacyl-Coenzyme A dehydrogenase
1419997_at	0.000362	8.26e-07	-5.23129	Mfn1	mitofusin 1
1449081_at	0.000364	8.40e-07	-4.21791	Ces1d	carboxylesterase 1D
1435658_at	0.000365	8.51e-07	-2.78611667	Slc27a1	solute carrier family 27 (fatty acid transporter), member 1
1448104_at	0.000371	8.80e-07	-5.35288	Aldh6a1	aldehyde dehydrogenase family 6, subfamily A1
1436867_at	0.000371	8.80e-07	-4.34098333	Srl	sarcalumenin
1417384_at	0.000375	8.99e-07	-3.96173667	Entpd5	ectonucleoside triphosphate diphosphohydrolase 5
1427074_at	0.000378	9.14e-07	-3.71246	Pcmtd2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
1435752_s_at	0.000378	9.23e-07	-5.49255667	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
1429021_at	0.000379	9.34e-07	-4.44444	Epha4	Eph receptor A4
1451507_at	0.000385	9.65e-07	-3.68006	Mef2c	myocyte enhancer factor 2C
1416271_at	0.000385	9.69e-07	-5.31086	Perp	PERP, TP53 apoptosis effector
1426584_a_at	0.000385	9.72e-07	-4.16344333	Sord	sorbitol dehydrogenase
1451940_x_at	0.000388	1.01e-06	-4.80364333	Trdn	triadin
1418908_at	0.000388	1.01e-06	-4.15039667	Pam	peptidylglycine alpha-amidating monooxygenase
1418658_at	0.000388	1.01e-06	-3.65107	Rmdn1	regulator of microtubule dynamics 1
1460194_at	0.000388	1.03e-06	-5.06962	Phyh	phytanoyl-CoA hydroxylase
1419499_at	0.000388	1.04e-06	-4.82934667	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial
1418589_a_at	0.000388	1.05e-06	-4.18426667	Mlf1	myeloid leukemia factor 1
1418288_at	0.000388	1.06e-06	-3.76523667	Lpin1	lipin 1
1429196_at	0.000388	1.06e-06	-4.52008333	Rabgap1l	RAB GTPase activating protein 1-like
1418370_at	0.000388	1.07e-06	-4.32161333	Tnnc1	troponin C, cardiac/slow skeletal
1417286_at	0.000388	1.08e-06	-3.46817333	Ndufa5	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5
1449697_s_at	0.000388	1.08e-06	-4.90459667	Mfn1	mitofusin 1
1433847_at	0.000405	1.13e-06	-3.92003333	Strip2	striatin interacting protein 2
1421425_a_at	0.000408	1.15e-06	-5.99862333	Rcan2	regulator of calcineurin 2
1452474_a_at	0.000409	1.16e-06	-3.85219333	Art3	ADP-ribosyltransferase 3
1421297_a_at	0.000418	1.20e-06	-4.04168	Cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit
1455342_at	0.000418	1.21e-06	-4.76185333	Prune2	prune homolog 2 (Drosophila)
1439058_at	0.000418	1.21e-06	-2.57703667	Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)
1450667_a_at	0.000419	1.23e-06	-2.87926667	Cs	citrate synthase
1437889_x_at	0.000419	1.24e-06	3.03851667	Bgn	biglycan
1441111_at	0.000422	1.25e-06	-5.75813	Mylk4	myosin light chain kinase family, member 4
1441964_at	0.000424	1.27e-06	-3.34221667	Qk	quaking
1455227_at	0.000427	1.29e-06	-4.04704333	Nceh1	neutral cholesterol ester hydrolase 1
1415984_at	0.000427	1.30e-06	-5.71347333	Acadm	acyl-Coenzyme A dehydrogenase, medium chain
1419248_at	0.000427	1.31e-06	-4.51959667	Rgs2	regulator of G-protein signaling 2
1448827_s_at	0.000427	1.32e-06	-6.61460333	Myh7///Myh6	myosin, heavy polypeptide 7, cardiac muscle, beta///myosin, heavy polypeptide 6, cardiac muscle, alpha
1435493_at	0.000429	1.33e-06	-5.72872333	Dsp	desmoplakin
1423669_at	0.000432	1.35e-06	3.33299	Col1a1	collagen, type I, alpha 1
1449573_at	0.000434	1.37e-06	-3.70141333	Alpk3	alpha-kinase 3
1444494_at	0.000443	1.41e-06	-4.27840667	Klhl41	kelch-like 41
1429639_at	0.000443	1.41e-06	-4.98369333	Gpcpd1	glycerophosphocholine phosphodiesterase 1
1428471_at	0.000454	1.46e-06	-5.21563	Sorbs1	sorbin and SH3 domain containing 1
1427075_s_at	0.000458	1.48e-06	-4.80928333	Pcmtd2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
1434096_at	0.000465	1.52e-06	-3.44772	Slc4a4	solute carrier family 4 (anion exchanger), member 4
1417900_a_at	0.000465	1.53e-06	-4.17197333	Vldlr	very low density lipoprotein receptor
1435446_a_at	0.000465	1.54e-06	-4.19718333	Chpt1	choline phosphotransferase 1
1438258_at	0.000472	1.57e-06	-5.18510667	Vldlr	very low density lipoprotein receptor
1451846_at	0.000482	1.61e-06	-4.92978333	Nebl	nebulette
1416617_at	0.00049	1.65e-06	-3.73594333	Acss1	acyl-CoA synthetase short-chain family member 1
1452800_a_at	0.000497	1.69e-06	-4.28133333	Apoo	apolipoprotein O
1444612_at	0.0005	1.72e-06	-3.27182667	Ppp2r3a	protein phosphatase 2, regulatory subunit B'', alpha
1440424_at	0.0005	1.72e-06	-5.02676333	Tnnt2	troponin T2, cardiac
1451449_at	0.000516	1.80e-06	-3.98061333	Erlec1	endoplasmic reticulum lectin 1
1436803_a_at	0.000516	1.80e-06	-2.51826667	Ndufb9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9
1417729_at	0.000521	1.83e-06	-6.92402667	Myh6	myosin, heavy polypeptide 6, cardiac muscle, alpha
1427955_a_at	0.000521	1.84e-06	-4.07135667	Deb1	differentially expressed in B16F10 1
1427768_s_at	0.000527	1.87e-06	-4.87506	Myl3	myosin, light polypeptide 3
1426911_at	0.000528	1.90e-06	-4.41679	Dsc2	desmocollin 2
1452005_at	0.000528	1.90e-06	-2.99915667	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
1442715_at	0.000528	1.91e-06	-4.24312667		
1418715_at	0.00053	1.93e-06	-4.62956667	Pank1	pantothenate kinase 1
1426216_at	0.000542	1.98e-06	-3.40612	Cog6	component of oligomeric golgi complex 6
1457435_x_at	0.000545	2.01e-06	-5.47323333	Myom2	myomesin 2
1415904_at	0.000545	2.02e-06	-5.5698	Lpl	lipoprotein lipase
1447806_s_at	0.00055	2.05e-06	-4.67255333	Srpk3	serine/arginine-rich protein specific kinase 3
1427279_at	0.00055	2.07e-06	-3.25210333	Clip4	CAP-GLY domain containing linker protein family, member 4
1449218_at	0.00055	2.07e-06	-4.69493667	Cox8b	cytochrome c oxidase subunit VIIIb
1422302_s_at	0.000553	2.10e-06	3.69823667	LOC100862446///Ftl1-ps2///Ftl1	ferritin light chain 1///ferritin light polypeptide, pseudogene 2///ferritin light polypeptide 1
1452973_at	0.000567	2.16e-06	-3.35625333	Ppm1k	protein phosphatase 1K (PP2C domain containing)
1449547_at	0.000568	2.18e-06	-3.76316667	Asb14	ankyrin repeat and SOCS box-containing 14
1454647_at	0.000577	2.23e-06	-5.10569667	Acad11	acyl-Coenzyme A dehydrogenase family, member 11
1418769_at	0.000577	2.25e-06	-5.12018667	Myoz2	myozenin 2
1435836_at	0.000577	2.25e-06	-4.1175	Pdk1	pyruvate dehydrogenase kinase, isoenzyme 1
1437523_s_at	0.000578	2.27e-06	-4.81173667	Sgcg	sarcoglycan, gamma (dystrophin-associated glycoprotein)
1430806_at	0.000578	2.28e-06	-3.19816333	Mlip	muscular LMNA-interacting protein
1435551_at	0.000579	2.30e-06	-4.08672667	Fhod3	formin homology 2 domain containing 3
1435006_s_at	0.000579	2.31e-06	-3.77444667	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7
1417951_at	0.000579	2.32e-06	-3.68303667	Eno3	enolase 3, beta muscle
1425515_at	0.000579	2.34e-06	-3.94595	Pik3r1	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)
1451203_at	0.00058	2.35e-06	-4.84587	Mb	myoglobin
1421290_at	0.000581	2.37e-06	-4.59623333	Hspb7	heat shock protein family, member 7 (cardiovascular)
1451002_at	0.000581	2.38e-06	-4.07293	Aco2	aconitase 2, mitochondrial
1441590_at	0.000588	2.42e-06	-4.17605	Kcnj5	potassium inwardly-rectifying channel, subfamily J, member 5
1418952_at	0.000589	2.44e-06	-3.43632	Txlnb	taxilin beta
1418883_a_at	0.000596	2.49e-06	3.58343	Pabpc1	poly(A) binding protein, cytoplasmic 1
1416772_at	0.0006	2.52e-06	-3.10139333	Cpt2	carnitine palmitoyltransferase 2
1439101_at	0.0006	2.53e-06	-4.33184	Mylk3	myosin light chain kinase 3
1424858_at	0.0006	2.56e-06	-3.72711333	L2hgdh	L-2-hydroxyglutarate dehydrogenase
1448112_at	0.0006	2.56e-06	-2.98283333	Gm12338	cytochrome c oxidase, subunit VIIc pseudogene
1437869_at	0.0006	2.57e-06	-3.80916667	Ppp2r3a	protein phosphatase 2, regulatory subunit B'', alpha
1429024_at	0.000607	2.61e-06	-3.54739	Rbm20	RNA binding motif protein 20
1450883_a_at	0.000616	2.66e-06	-5.69224	Cd36	CD36 antigen
1431068_at	0.000628	2.74e-06	-3.83173333	Rmnd5a	required for meiotic nuclear division 5 homolog A
1425745_a_at	0.000628	2.75e-06	-2.6275	Tacc2	transforming, acidic coiled-coil containing protein 2
1448553_at	0.000628	2.76e-06	-3.31807667	Myh7	myosin, heavy polypeptide 7, cardiac muscle, beta
1431863_at	0.000628	2.77e-06	-3.11020667	4931430N09Rik	RIKEN cDNA 4931430N09 gene
1448491_at	0.000636	2.83e-06	-4.01891667	Ech1	enoyl coenzyme A hydratase 1, peroxisomal
1433507_a_at	0.000636	2.84e-06	-3.07000333	Gm7931///Gm9525///Gm6750///Hmgn2	non-histone chromosomal protein HMG-17-like///predicted gene 9525///predicted gene 6750///high mobility group nucleosomal binding domain 2
1454699_at	0.000636	2.85e-06	-3.71158	Sesn1	sestrin 1
1427127_x_at	0.000639	2.88e-06	4.69584	Hspa1b	heat shock protein 1B
1420725_at	0.000639	2.89e-06	-3.71824	Tmlhe	trimethyllysine hydroxylase, epsilon
1418968_at	0.000651	2.96e-06	-3.40883	Rb1cc1	RB1-inducible coiled-coil 1
1453029_s_at	0.000652	2.98e-06	-4.14735	Ubr3	ubiquitin protein ligase E3 component n-recognin 3
1417194_at	0.000662	3.04e-06	-2.46698	Sod2	superoxide dismutase 2, mitochondrial
1442710_at	0.000662	3.06e-06	-6.52453667		
1419663_at	0.000662	3.07e-06	-2.60517333	Ogn	osteoglycin
1442169_at	0.000668	3.11e-06	-5.0533	Vldlr	very low density lipoprotein receptor
1418012_at	0.00067	3.14e-06	-2.82581667	Sh3glb1	SH3-domain GRB2-like B1 (endophilin)
1421329_a_at	0.000676	3.18e-06	-4.07974667	Smyd1	SET and MYND domain containing 1
1418915_at	0.000676	3.19e-06	-3.66118667	Mmachc	methylmalonic aciduria cblC type, with homocystinuria
1424967_x_at	0.000676	3.22e-06	-6.41184667	Tnnt2	troponin T2, cardiac
1423238_at	0.000676	3.23e-06	-3.83057333	Itgb1bp2	integrin beta 1 binding protein 2
1428899_at	0.000676	3.24e-06	-4.68712667	Tmem182	transmembrane protein 182
1426743_at	0.000677	3.26e-06	-2.67224	Appl2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2
1420551_at	0.000679	3.32e-06	-3.29878667	Murc	muscle-related coiled-coil protein
1451187_at	0.000679	3.33e-06	-2.96773667	Fopnl	Fgfr1op N-terminal like
1421244_at	0.000679	3.33e-06	-6.23463	Esr1	estrogen receptor 1 (alpha)
1429223_a_at	0.000679	3.33e-06	-3.59907333	Hfe2	hemochromatosis type 2 (juvenile)
1439253_x_at	0.000686	3.38e-06	3.58937333	Prelid1	PRELI domain containing 1
1437042_at	0.000686	3.39e-06	-3.33912333	Arnt	aryl hydrocarbon receptor nuclear translocator
1434150_a_at	0.000693	3.45e-06	-3.76495333	Mettl7a2///Mettl7a1	methyltransferase like 7A2///methyltransferase like 7A1
1423747_a_at	0.000693	3.46e-06	-4.99186	Pdk1	pyruvate dehydrogenase kinase, isoenzyme 1
1433691_at	0.000697	3.49e-06	-3.38109667	Ppp1r3c	protein phosphatase 1, regulatory (inhibitor) subunit 3C
1433672_at	0.000706	3.55e-06	-3.40983333	Trmt2b	TRM2 tRNA methyltransferase 2B
1438892_at	0.000708	3.61e-06	-3.14780667	Dep1	diabetic embryopathy 1
1427262_at	0.000708	3.62e-06	-3.01061	Xist	inactive X specific transcripts
1456048_at	0.000708	3.62e-06	-2.48126	Cpeb3	cytoplasmic polyadenylation element binding protein 3
1427610_at	0.000708	3.63e-06	-4.60395333	Dsp	desmoplakin
1453925_at	0.000712	3.66e-06	-5.36624667	4930429F24Rik	RIKEN cDNA 4930429F24 gene
1455235_x_at	0.000736	3.80e-06	-4.93349667	Ldhb	lactate dehydrogenase B
1455056_at	0.000736	3.82e-06	-5.16829667	Lmo7	LIM domain only 7
1418364_a_at	0.000743	3.87e-06	4.21377667	LOC100862446///Ftl1-ps2///Ftl1	ferritin light chain 1///ferritin light polypeptide, pseudogene 2///ferritin light polypeptide 1
1448499_a_at	0.000747	3.91e-06	-3.07302667	Ephx2	epoxide hydrolase 2, cytoplasmic
1456386_at	0.000752	3.95e-06	-3.82373	Rbm39	RNA binding motif protein 39
1450038_s_at	0.000758	4.00e-06	-4.31334333	Usp9x	ubiquitin specific peptidase 9, X chromosome
1418497_at	0.00077	4.08e-06	-3.67209333	Fgf13	fibroblast growth factor 13
1444357_at	0.000772	4.12e-06	-3.56558	Akap6	A kinase (PRKA) anchor protein 6
1436990_s_at	0.000772	4.12e-06	-4.29220667	Chchd10	coiled-coil-helix-coiled-coil-helix domain containing 10
1425332_at	0.000783	4.20e-06	-5.11075667	Zfp106	zinc finger protein 106
1449999_a_at	0.000785	4.23e-06	-3.33422667	Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1
1435751_at	0.000785	4.25e-06	-4.63520667	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
1451372_a_at	0.000789	4.28e-06	-3.15895333	Art1	ADP-ribosyltransferase 1
1450884_at	0.000808	4.41e-06	-4.68670667	Cd36	CD36 antigen
1434690_at	0.000814	4.46e-06	-2.44124333	Lclat1	lysocardiolipin acyltransferase 1
1417981_at	0.000814	4.48e-06	-2.55811333	Insig2	insulin induced gene 2
1448202_x_at	0.000822	4.56e-06	2.77328333	Prelid1	PRELI domain containing 1
1455814_x_at	0.000822	4.56e-06	3.82266333	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
1436678_at	0.000829	4.61e-06	-3.58764333	Sgcb	sarcoglycan, beta (dystrophin-associated glycoprotein)
1455374_at	0.000836	4.67e-06	-4.16743667	Kcnj3	potassium inwardly-rectifying channel, subfamily J, member 3
1440884_s_at	0.000843	4.73e-06	-2.88543	A530047J11Rik	RIKEN cDNA A530047J11 gene
1429736_at	0.000852	4.80e-06	-3.28133667	Qk	quaking
1418318_at	0.000852	4.82e-06	-4.04382	Rnf128	ring finger protein 128
1419738_a_at	0.000861	4.89e-06	4.93234333	Tpm2	tropomyosin 2, beta
1416046_a_at	0.000861	4.91e-06	-3.60710667	Fuca2	fucosidase, alpha-L- 2, plasma
1419687_at	0.000868	4.97e-06	-3.88395667	Macrod1	MACRO domain containing 1
1416054_at	0.000868	4.99e-06	3.03637	Rps5	ribosomal protein S5
1450225_at	0.00088	5.07e-06	-3.00185	Insr	insulin receptor
1433183_at	0.000893	5.17e-06	-4.09202333	6720477C19Rik	RIKEN cDNA 6720477C19 gene
1433628_at	0.000894	5.20e-06	-2.88525	Coq10a	coenzyme Q10A
1433711_s_at	0.000894	5.21e-06	-3.05852	Sesn1	sestrin 1
1434273_at	0.000901	5.27e-06	-3.07649667	Fam174b	family with sequence similarity 174, member B
1451628_a_at	0.000902	5.30e-06	-2.48864333	Ank3	ankyrin 3, epithelial
1426689_s_at	0.000904	5.34e-06	-5.31631333	Sdha	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
1452821_at	0.000904	5.35e-06	-2.60531	Tial1	Tia1 cytotoxic granule-associated RNA binding protein-like 1
1441560_at	0.000912	5.42e-06	-2.83651667	Ctnna3	catenin (cadherin associated protein), alpha 3
1451190_a_at	0.000912	5.44e-06	-3.63161667	Sbk1	SH3-binding kinase 1
1429464_at	0.000912	5.49e-06	-4.61412667	Prkaa2	protein kinase, AMP-activated, alpha 2 catalytic subunit
1416752_at	0.000912	5.49e-06	-3.62489667	Ldb3	LIM domain binding 3
1428087_at	0.000912	5.50e-06	-3.00000667	Dnm1l	dynamin 1-like
1433768_at	0.000916	5.54e-06	-4.59711333	Palld	palladin, cytoskeletal associated protein
1448645_at	0.000923	5.61e-06	-2.53772	Msl3	male-specific lethal 3 homolog (Drosophila)
1444504_at	0.000925	5.70e-06	-3.77106333	Dhrs7c	dehydrogenase/reductase (SDR family) member 7C
1428145_at	0.000925	5.71e-06	-4.39543	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
1429463_at	0.000925	5.71e-06	-2.98207667	Prkaa2	protein kinase, AMP-activated, alpha 2 catalytic subunit
1433503_at	0.000925	5.72e-06	-4.49666333	Ptgr2	prostaglandin reductase 2
1454704_at	0.000925	5.72e-06	-3.29522	Scarb2	scavenger receptor class B, member 2
1434832_at	0.000941	5.84e-06	-3.21331667	Foxo3	forkhead box O3
1429783_at	0.000942	5.89e-06	-5.89033	Pdlim5	PDZ and LIM domain 5
1441855_x_at	0.000942	5.90e-06	5.11544	Cxcl1	chemokine (C-X-C motif) ligand 1
1450917_at	0.000942	5.91e-06	-3.56519	Myom2	myomesin 2
1446742_at	0.000947	5.98e-06	-3.61584		
1455558_at	0.000947	5.99e-06	-3.31453	Kiz	kizuna centrosomal protein
1424184_at	0.000947	6.01e-06	-5.26748	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain
1448323_a_at	0.000951	6.07e-06	3.76928333	Bgn	biglycan
1435649_at	0.000951	6.07e-06	-5.14222333	Nexn	nexilin
1435774_at	0.000951	6.09e-06	-2.87401	LOC106740///Phf10	uncharacterized LOC106740///PHD finger protein 10
1434613_at	0.000952	6.14e-06	-3.11039333	1810013L24Rik	RIKEN cDNA 1810013L24 gene
1454938_at	0.000952	6.14e-06	-4.18873333	Snx13	sorting nexin 13
1416105_at	0.000952	6.17e-06	-5.21703	Nnt	nicotinamide nucleotide transhydrogenase
